id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
"ID12381",32,"MALE","INNER_CITY",22327.800000,"YES",1,"NO","NO","NO","NO","YES"
"ID12382",18,"FEMALE","INNER_CITY",15610.200000,"YES",0,"NO","YES","YES","NO","NO"
"ID12383",64,"MALE","INNER_CITY",54314.500000,"YES",1,"YES","YES","NO","NO","YES"
"ID12384",43,"FEMALE","INNER_CITY",39175.800000,"YES",3,"NO","YES","YES","YES","NO"
"ID12385",22,"FEMALE","INNER_CITY",13739.000000,"YES",3,"NO","YES","YES","NO","NO"
"ID12386",25,"MALE","TOWN",9485.840000,"YES",0,"NO","NO","NO","NO","NO"
"ID12387",39,"MALE","INNER_CITY",24675.700000,"YES",1,"YES","YES","YES","YES","YES"
"ID12388",58,"FEMALE","INNER_CITY",28253.600000,"YES",3,"NO","NO","YES","NO","NO"
"ID12389",33,"MALE","INNER_CITY",14136.500000,"YES",1,"NO","YES","NO","NO","NO"
"ID12390",52,"FEMALE","RURAL",37162.100000,"YES",1,"YES","YES","YES","NO","YES"
"ID12391",23,"MALE","INNER_CITY",13519.200000,"NO",0,"NO","YES","YES","NO","YES"
"ID12392",44,"FEMALE","INNER_CITY",39253.600000,"NO",0,"YES","YES","NO","NO","YES"
"ID12393",51,"MALE","RURAL",46323.800000,"YES",2,"YES","YES","YES","YES","YES"
"ID12394",26,"FEMALE","TOWN",20950.700000,"YES",0,"NO","YES","YES","NO","NO"
"ID12395",42,"MALE","TOWN",22495.700000,"YES",0,"NO","YES","NO","YES","NO"
"ID12396",34,"MALE","TOWN",32548.900000,"YES",0,"YES","YES","YES","YES","NO"
"ID12397",54,"FEMALE","RURAL",24583.400000,"NO",2,"YES","YES","YES","YES","NO"
"ID12398",18,"MALE","RURAL",8639.240000,"YES",2,"NO","NO","NO","NO","NO"
"ID12399",47,"FEMALE","INNER_CITY",17139.500000,"NO",2,"YES","NO","YES","NO","NO"
"ID12400",24,"FEMALE","INNER_CITY",13667.700000,"YES",0,"NO","YES","YES","NO","NO"
